Task,Category,Owner,Priority,Status,Deadline,Notes
Finalize one-line pitch for doctors,Messaging,,P0,Not Started,,Keep it short enough for WhatsApp and clinic visits
Finalize one-line pitch for patients,Messaging,,P0,Not Started,,Use simple trust and convenience angle
Prepare doctor call script,Doctor Outreach,,P0,Not Started,,Include opening pitch objections and closing
Prepare doctor WhatsApp script,Doctor Outreach,,P0,Not Started,,Short message plus brochure/demo link
Create list of 100 doctors,Doctor Outreach,,P0,Not Started,,Start with local independent doctors
Create clinic target list,Doctor Outreach,,P0,Not Started,,Include area specialty phone status
Contact 20 doctors per day,Doctor Outreach,,P0,Not Started,,Daily recurring activity
Follow up with 10 doctors per day,Doctor Outreach,,P0,Not Started,,Warm leads first
Visit clinics in person,Doctor Outreach,,P1,Not Started,,Prioritize high-density clinic areas
Bring in 10+ doctors,Doctor Acquisition,,P0,Not Started,,Users or advisory/team doctors
Collect doctor objections,Doctor Feedback,,P1,Not Started,,Add answers to FAQ
Collect doctor testimonials,Trust Building,,P1,Not Started,,Text or video
Create doctor announcement template,Content,,P1,Not Started,,Reusable post for each doctor
Create doctor joined Healio posts,Content,,P1,Not Started,,One per onboarded doctor
Create Meet Our Doctors series,Content,,P1,Not Started,,Carousel/reel format
Create Why Healio series,Content,,P1,Not Started,,Trust and convenience focused
Create How To Book series,Content,,P1,Not Started,,Patient education
Create Instagram reels,Social Media,,P0,Not Started,,Target 1k+ views
Post 1 reel or carousel daily,Social Media,,P1,Not Started,,Daily recurring activity
Share 3 Instagram stories daily,Social Media,,P1,Not Started,,Daily recurring activity
Create clinic poster content,Offline Marketing,,P1,Not Started,,QR and doctor value
Create WhatsApp broadcast message,Launch,,P0,Not Started,,For launch day
Prepare launch captions,Launch,,P0,Not Started,,Instagram LinkedIn WhatsApp
Prepare founder announcement post,Launch,,P1,Not Started,,Personal story and mission
Run launch countdown stories,Launch,,P1,Not Started,,3-5 days before launch
Publish official launch post,Launch,,P0,Not Started,,Main announcement
Publish founder launch post,Launch,,P1,Not Started,,Founder profile
Ask doctors to share launch,Launch,,P0,Not Started,,Coordinate on launch day
Ask friends/team to repost,Launch,,P1,Not Started,,Boost initial reach
Contact city pages,Local Outreach,,P1,Not Started,,5-10 local pages
Contact micro-influencers,Local Outreach,,P2,Not Started,,Health city student creators
Create local WhatsApp group list,Community,,P1,Not Started,,Societies colleges communities
Share launch in startup groups,Community,,P1,Not Started,,LinkedIn/WhatsApp
Prepare patient referral message,Referral,,P1,Not Started,,Simple share copy
Prepare doctor referral message,Referral,,P1,Not Started,,Doctor to doctor referral
Start patient referral campaign,Referral,,P1,Not Started,,After launch
Start doctor referral campaign,Referral,,P1,Not Started,,After first doctors onboarded
Identify 5-10 labs/pharmacies,Partnerships,,P1,Not Started,,Local partnerships
Prepare partnership pitch,Partnerships,,P1,Not Started,,Benefits for partner
Reach out to 2 partners daily,Partnerships,,P2,Not Started,,Daily recurring activity
Ask patients for reviews,Feedback,,P1,Not Started,,After booking/usage
Publish patient testimonials,Trust Building,,P1,Not Started,,After approval
Track leads in sheet,Operations,,P0,Not Started,,Mandatory daily
Respond to all comments and DMs,Operations,,P0,Not Started,,Same-day response
Create launch performance report,Reporting,,P1,Not Started,,Reach signups doctors bookings
Prepare next month expansion plan,Planning,,P2,Not Started,,Based on best channel and specialty
